carrier,from_zone,to_zone,max_kg,fare
A運輸,中部,中四国,300,10080
A運輸,中部,中四国,500,14000
A運輸,中部,中四国,1000,22400
A運輸,中部,中四国,1500,29400
A運輸,中部,中四国,2000,35000
A運輸,中部,九州,30,3500
A運輸,中部,九州,50,4550
A運輸,中部,九州,100,6650
A運輸,中部,九州,150,8400
A運輸,中部,九州,200,9800
A運輸,中部,九州,300,12600
A運輸,中部,九州,500,17500
A運輸,中部,九州,1000,28000
A運輸,中部,九州,1500,36750
A運輸,中部,九州,2000,43750
A運輸,関西,北海道,30,4200
A運輸,関西,北海道,50,5460
A運輸,関西,北海道,100,7980
A運輸,関西,北海道,150,10080
A運輸,関西,北海道,200,11760
A運輸,関西,北海道,300,15120
A運輸,関西,北海道,500,21000
A運輸,関西,北海道,1000,33600
A運輸,関西,北海道,1500,44100
A運輸,関西,北海道,2000,52500
A運輸,関西,東北,30,3500
A運輸,関西,東北,50,4550
A運輸,関西,東北,100,6650
A運輸,関西,東北,150,8400
A運輸,関西,東北,200,9800
A運輸,関西,東北,300,12600
A運輸,関西,東北,500,17500
A運輸,関西,東北,1000,28000
A運輸,関西,東北,1500,36750
A運輸,関西,東北,2000,43750
A運輸,関西,関東,30,2800
A運輸,関西,関東,50,3640
A運輸,関西,関東,100,5320
A運輸,関西,関東,150,6720
A運輸,関西,関東,200,7840
A運輸,関西,関東,300,10080
A運輸,関西,関東,500,14000
A運輸,関西,関東,1000,22400
A運輸,関西,関東,1500,29400
A運輸,関西,関東,2000,35000
A運輸,関西,中部,30,2100
A運輸,関西,中部,50,2730
A運輸,関西,中部,100,3990
A運輸,関西,中部,150,5040
A運輸,関西,中部,200,5880
A運輸,関西,中部,300,7560
A運輸,関西,中部,500,10500
A運輸,関西,中部,1000,16800
A運輸,関西,中部,1500,22050
A運輸,関西,中部,2000,26250
A運輸,関西,関西,30,1400
A運輸,関西,関西,50,1820
A運輸,関西,関西,100,2660
A運輸,関西,関西,150,3360
A運輸,関西,関西,200,3920
A運輸,関西,関西,300,5040
A運輸,関西,関西,500,7000
A運輸,関西,関西,1000,11200
A運輸,関西,関西,1500,14700
A運輸,関西,関西,2000,17500
A運輸,関西,中四国,30,2100
A運輸,関西,中四国,50,2730
A運輸,関西,中四国,100,3990
A運輸,関西,中四国,150,5040
A運輸,関西,中四国,200,5880
A運輸,関西,中四国,300,7560
A運輸,関西,中四国,500,10500
A運輸,関西,中四国,1000,16800
A運輸,関西,中四国,1500,22050
A運輸,関西,中四国,2000,26250
A運輸,関西,九州,30,2800
A運輸,関西,九州,50,3640
A運輸,関西,九州,100,5320
A運輸,関西,九州,150,6720
A運輸,関西,九州,200,7840
A運輸,関西,九州,300,10080
A運輸,関西,九州,500,14000
A運輸,関西,九州,1000,22400
A運輸,関西,九州,1500,29400
A運輸,関西,九州,2000,35000
A運輸,中四国,北海道,30,4900
A運輸,中四国,北海道,50,6370
A運輸,中四国,北海道,100,9310
A運輸,中四国,北海道,150,11760
A運輸,中四国,北海道,200,13720
A運輸,中四国,北海道,300,17640
A運輸,中四国,北海道,500,24500
A運輸,中四国,北海道,1000,39200
A運輸,中四国,北海道,1500,51450
A運輸,中四国,北海道,2000,61250
A運輸,中四国,東北,30,4200
A運輸,中四国,東北,50,5460
A運輸,中四国,東北,100,7980
A運輸,中四国,東北,150,10080
A運輸,中四国,東北,200,11760
A運輸,中四国,東北,300,15120
A運輸,中四国,東北,500,21000
A運輸,中四国,東北,1000,33600
A運輸,中四国,東北,1500,44100
A運輸,中四国,東北,2000,52500
A運輸,中四国,関東,30,3500
A運輸,中四国,関東,50,4550
A運輸,中四国,関東,100,6650
A運輸,中四国,関東,150,8400
A運輸,中四国,関東,200,9800
A運輸,中四国,関東,300,12600
A運輸,中四国,関東,500,17500
A運輸,中四国,関東,1000,28000
A運輸,中四国,関東,1500,36750
A運輸,中四国,関東,2000,43750
A運輸,中四国,中部,30,2800
A運輸,中四国,中部,50,3640
A運輸,中四国,中部,100,5320
A運輸,中四国,中部,150,6720
A運輸,中四国,中部,200,7840
A運輸,中四国,中部,300,10080
A運輸,中四国,中部,500,14000
A運輸,中四国,中部,1000,22400
A運輸,中四国,中部,1500,29400
A運輸,中四国,中部,2000,35000
A運輸,中四国,関西,30,2100
A運輸,中四国,関西,50,2730
A運輸,中四国,関西,100,3990
A運輸,中四国,関西,150,5040
A運輸,中四国,関西,200,5880
A運輸,中四国,関西,300,7560
A運輸,中四国,関西,500,10500
A運輸,中四国,関西,1000,16800
A運輸,中四国,関西,1500,22050
A運輸,中四国,関西,2000,26250
A運輸,中四国,中四国,30,1400
A運輸,中四国,中四国,50,1820
A運輸,中四国,中四国,100,2660
A運輸,中四国,中四国,150,3360
A運輸,中四国,中四国,200,3920
A運輸,中四国,中四国,300,5040
A運輸,中四国,中四国,500,7000
A運輸,中四国,中四国,1000,11200
A運輸,中四国,中四国,1500,14700
A運輸,中四国,中四国,2000,17500
A運輸,中四国,九州,30,2100
A運輸,中四国,九州,50,2730
A運輸,中四国,九州,100,3990
A運輸,中四国,九州,150,5040
A運輸,中四国,九州,200,5880
A運輸,中四国,九州,300,7560
A運輸,中四国,九州,500,10500
A運輸,中四国,九州,1000,16800
A運輸,中四国,九州,1500,22050
A運輸,中四国,九州,2000,26250
A運輸,九州,北海道,30,5600
A運輸,九州,北海道,50,7280
A運輸,九州,北海道,100,10640
A運輸,九州,北海道,150,13440
A運輸,九州,北海道,200,15680
A運輸,九州,北海道,300,20160
A運輸,九州,北海道,500,28000
A運輸,九州,北海道,1000,44800
A運輸,九州,北海道,1500,58800
A運輸,九州,北海道,2000,70000
A運輸,九州,東北,30,4900
A運輸,九州,東北,50,6370
A運輸,九州,東北,100,9310
A運輸,九州,東北,150,11760
A運輸,九州,東北,200,13720
A運輸,九州,東北,300,17640
A運輸,九州,東北,500,24500
A運輸,九州,東北,1000,39200
A運輸,九州,東北,1500,51450
A運輸,九州,東北,2000,61250
A運輸,九州,関東,30,4200
A運輸,九州,関東,50,5460
A運輸,九州,関東,100,7980
A運輸,九州,関東,150,10080
A運輸,九州,関東,200,11760
A運輸,九州,関東,300,15120
A運輸,九州,関東,500,21000
A運輸,九州,関東,1000,33600
A運輸,九州,関東,1500,44100
A運輸,九州,関東,2000,52500
A運輸,九州,中部,30,3500
A運輸,九州,中部,50,4550
A運輸,九州,中部,100,6650
A運輸,九州,中部,150,8400
A運輸,九州,中部,200,9800
A運輸,九州,中部,300,12600
A運輸,九州,中部,500,17500
A運輸,九州,中部,1000,28000
A運輸,九州,中部,1500,36750
A運輸,九州,中部,2000,43750
A運輸,九州,関西,30,2800
A運輸,九州,関西,50,3640
A運輸,九州,関西,100,5320
A運輸,九州,関西,150,6720
A運輸,九州,関西,200,7840
A運輸,九州,関西,300,10080
A運輸,九州,関西,500,14000
A運輸,九州,関西,1000,22400
A運輸,九州,関西,1500,29400
A運輸,九州,関西,2000,35000
A運輸,九州,中四国,30,2100
A運輸,九州,中四国,50,2730
A運輸,九州,中四国,100,3990
A運輸,九州,中四国,150,5040
A運輸,九州,中四国,200,5880
A運輸,九州,中四国,300,7560
A運輸,九州,中四国,500,10500
A運輸,九州,中四国,1000,16800
A運輸,九州,中四国,1500,22050
A運輸,九州,中四国,2000,26250
A運輸,九州,九州,30,1400
A運輸,九州,九州,50,1820
A運輸,九州,九州,100,2660
A運輸,九州,九州,150,3360
A運輸,九州,九州,200,3920
A運輸,九州,九州,300,5040
A運輸,九州,九州,500,7000
A運輸,九州,九州,1000,11200
A運輸,九州,九州,1500,14700
A運輸,九州,九州,2000,17500
B急便,北海道,北海道,30,1300
B急便,北海道,北海道,50,1690
B急便,北海道,北海道,100,2470
B急便,北海道,北海道,150,3120
B急便,北海道,北海道,200,3640
B急便,北海道,北海道,300,4680
B急便,北海道,北海道,500,6500
B急便,北海道,北海道,1000,10400
B急便,北海道,北海道,1500,13650
B急便,北海道,北海道,2000,16250
B急便,北海道,東北,30,2060
B急便,北海道,東北,50,2680
B急便,北海道,東北,100,3910
B急便,北海道,東北,150,4940
B急便,北海道,東北,200,5770
B急便,北海道,東北,300,7420
B急便,北海道,東北,500,10300
B急便,北海道,東北,1000,16480
B急便,北海道,東北,1500,21630
B急便,北海道,東北,2000,25750
B急便,北海道,北関東,30,2670
B急便,北海道,北関東,50,3470
B急便,北海道,北関東,100,5070
B急便,北海道,北関東,150,6400
B急便,北海道,北関東,200,7470
B急便,北海道,北関東,300,9600
B急便,北海道,北関東,500,13340
B急便,北海道,北関東,1000,21340
B急便,北海道,北関東,1500,28010
B急便,北海道,北関東,2000,33350
B急便,北海道,南関東,30,2970
B急便,北海道,南関東,50,3860
B急便,北海道,南関東,100,5650
B急便,北海道,南関東,150,7130
B急便,北海道,南関東,200,8320
B急便,北海道,南関東,300,10700
B急便,北海道,南関東,500,14860
B急便,北海道,南関東,1000,23780
B急便,北海道,南関東,1500,31210
B急便,北海道,南関東,2000,37150
B急便,北海道,中部,30,3580
B急便,北海道,中部,50,4650
B急便,北海道,中部,100,6800
B急便,北海道,中部,150,8590
B急便,北海道,中部,200,10020
B急便,北海道,中部,300,12890
B急便,北海道,中部,500,17900
B急便,北海道,中部,1000,28640
B急便,北海道,中部,1500,37590
B急便,北海道,中部,2000,44750
B急便,北海道,関西,30,4340
B急便,北海道,関西,50,5640
B急便,北海道,関西,100,8250
B急便,北海道,関西,150,10420
B急便,北海道,関西,200,12150
B急便,北海道,関西,300,15620
B急便,北海道,関西,500,21700
B急便,北海道,関西,1000,34720
B急便,北海道,関西,1500,45570
B急便,北海道,関西,2000,54250
B急便,北海道,中四国,30,5100
B急便,北海道,中四国,50,6630
B急便,北海道,中四国,100,9690
B急便,北海道,中四国,150,12240
B急便,北海道,中四国,200,14280
B急便,北海道,中四国,300,18360
B急便,北海道,中四国,500,25500
B急便,北海道,中四国,1000,40800
B急便,北海道,中四国,1500,53550
B急便,北海道,中四国,2000,63750
B急便,北海道,九州,30,5860
B急便,北海道,九州,50,7620
B急便,北海道,九州,100,11130
B急便,北海道,九州,150,14060
B急便,北海道,九州,200,16410
B急便,北海道,九州,300,21100
B急便,北海道,九州,500,29300
B急便,北海道,九州,1000,46880
B急便,北海道,九州,1500,61530
B急便,北海道,九州,2000,73250
B急便,東北,北海道,30,2060
B急便,東北,北海道,50,2680
B急便,東北,北海道,100,3910
B急便,東北,北海道,150,4940
B急便,東北,北海道,200,5770
B急便,東北,北海道,300,7420
B急便,東北,北海道,500,10300
B急便,東北,北海道,1000,16480
B急便,東北,北海道,1500,21630
B急便,東北,北海道,2000,25750
B急便,東北,東北,30,1300
B急便,東北,東北,50,1690
B急便,東北,東北,100,2470
B急便,東北,東北,150,3120
B急便,東北,東北,200,3640
B急便,東北,東北,300,4680
B急便,東北,東北,500,6500
B急便,東北,東北,1000,10400
B急便,東北,東北,1500,13650
B急便,東北,東北,2000,16250
B急便,東北,北関東,30,1910
B急便,東北,北関東,50,2480
B急便,東北,北関東,100,3630
B急便,東北,北関東,150,4580
B急便,東北,北関東,200,5340
B急便,東北,北関東,300,6870
B急便,東北,北関東,500,9540
B急便,東北,北関東,1000,15260
B急便,東北,北関東,1500,20030
B急便,東北,北関東,2000,23850
B急便,東北,南関東,30,2210
B急便,東北,南関東,50,2880
B急便,東北,南関東,100,4200
B急便,東北,南関東,150,5310
B急便,東北,南関東,200,6190
B急便,東北,南関東,300,7960
B急便,東北,南関東,500,11060
B急便,東北,南関東,1000,17700
B急便,東北,南関東,1500,23230
B急便,東北,南関東,2000,27650
B急便,東北,中部,30,2820
B急便,東北,中部,50,3670
B急便,東北,中部,100,5360
B急便,東北,中部,150,6770
B急便,東北,中部,200,7900
B急便,東北,中部,300,10150
B急便,東北,中部,500,14100
B急便,東北,中部,1000,22560
B急便,東北,中部,1500,29610
B急便,東北,中部,2000,35250
B急便,東北,関西,30,3580
B急便,東北,関西,50,4650
B急便,東北,関西,100,6800
B急便,東北,関西,150,8590
B急便,東北,関西,200,10020
B急便,東北,関西,300,12890
B急便,東北,関西,500,17900
B急便,東北,関西,1000,28640
B急便,東北,関西,1500,37590
B急便,東北,関西,2000,44750
B急便,東北,中四国,30,4340
B急便,東北,中四国,50,5640
B急便,東北,中四国,100,8250
B急便,東北,中四国,150,10420
B急便,東北,中四国,200,12150
B急便,東北,中四国,300,15620
B急便,東北,中四国,500,21700
B急便,東北,中四国,1000,34720
B急便,東北,中四国,1500,45570
B急便,東北,中四国,2000,54250
B急便,東北,九州,30,5100
B急便,東北,九州,50,6630
B急便,東北,九州,100,9690
B急便,東北,九州,150,12240
B急便,東北,九州,200,14280
B急便,東北,九州,300,18360
B急便,東北,九州,500,25500
B急便,東北,九州,1000,40800
B急便,東北,九州,1500,53550
B急便,東北,九州,2000,63750
B急便,北関東,北海道,30,2670
B急便,北関東,北海道,50,3470
B急便,北関東,北海道,100,5070
B急便,北関東,北海道,150,6400
B急便,北関東,北海道,200,7470
B急便,北関東,北海道,300,9600
B急便,北関東,北海道,500,13340
B急便,北関東,北海道,1000,21340
B急便,北関東,北海道,1500,28010
B急便,北関東,北海道,2000,33350
B急便,北関東,東北,30,1910
B急便,北関東,東北,50,2480
B急便,北関東,東北,100,3630
B急便,北関東,東北,150,4580
B急便,北関東,東北,200,5340
B急便,北関東,東北,300,6870
B急便,北関東,東北,500,9540
B急便,北関東,東北,1000,15260
B急便,北関東,東北,1500,20030
B急便,北関東,東北,2000,23850
B急便,北関東,北関東,30,1300
B急便,北関東,北関東,50,1690
B急便,北関東,北関東,100,2470
B急便,北関東,北関東,150,3120
B急便,北関東,北関東,200,3640
B急便,北関東,北関東,300,4680
B急便,北関東,北関東,500,6500
B急便,北関東,北関東,1000,10400
B急便,北関東,北関東,1500,13650
B急便,北関東,北関東,2000,16250
B急便,北関東,南関東,30,1600
B急便,北関東,南関東,50,2090
B急便,北関東,南関東,100,3050
B急便,北関東,南関東,150,3850
B急便,北関東,南関東,200,4490
B急便,北関東,南関東,300,5770
B急便,北関東,南関東,500,8020
B急便,北関東,南関東,1000,12830
B急便,北関東,南関東,1500,16840
B急便,北関東,南関東,2000,20050
B急便,北関東,中部,30,2210
B急便,北関東,中部,50,2880
B急便,北関東,中部,100,4200
B急便,北関東,中部,150,5310
B急便,北関東,中部,200,6190
B急便,北関東,中部,300,7960
B急便,北関東,中部,500,11060
B急便,北関東,中部,1000,17700
B急便,北関東,中部,1500,23230
B急便,北関東,中部,2000,27650
B急便,北関東,関西,30,2970
B急便,北関東,関西,50,3860
B急便,北関東,関西,100,5650
B急便,北関東,関西,150,7130
B急便,北関東,関西,200,8320
B急便,北関東,関西,300,10700
B急便,北関東,関西,500,14860
B急便,北関東,関西,1000,23780
B急便,北関東,関西,1500,31210
B急便,北関東,関西,2000,37150
B急便,北関東,中四国,30,3730
B急便,北関東,中四国,50,4850
B急便,北関東,中四国,100,7090
B急便,北関東,中四国,150,8960
B急便,北関東,中四国,200,10450
B急便,北関東,中四国,300,13440
B急便,北関東,中四国,500,18660
B急便,北関東,中四国,1000,29860
B急便,北関東,中四国,1500,39190
B急便,北関東,中四国,2000,46650
B急便,北関東,九州,30,4490
B急便,北関東,九州,50,5840
B急便,北関東,九州,100,8530
B急便,北関東,九州,150,10780
B急便,北関東,九州,200,12580
B急便,北関東,九州,300,16170
B急便,北関東,九州,500,22460
B急便,北関東,九州,1000,35940
B急便,北関東,九州,1500,47170
B急便,北関東,九州,2000,56150
B急便,南関東,北海道,30,2970
B急便,南関東,北海道,50,3860
B急便,南関東,北海道,100,5650
B急便,南関東,北海道,150,7130
B急便,南関東,北海道,200,8320
B急便,南関東,北海道,300,10700
B急便,南関東,北海道,500,14860
B急便,南関東,北海道,1000,23780
B急便,南関東,北海道,1500,31210
B急便,南関東,北海道,2000,37150
B急便,南関東,東北,30,2210
B急便,南関東,東北,50,2880
B急便,南関東,東北,100,4200
B急便,南関東,東北,150,5310
B急便,南関東,東北,200,6190
B急便,南関東,東北,300,7960
B急便,南関東,東北,500,11060
B急便,南関東,東北,1000,17700
B急便,南関東,東北,1500,23230
B急便,南関東,東北,2000,27650
B急便,南関東,北関東,30,1600
B急便,南関東,北関東,50,2090
B急便,南関東,北関東,100,3050
B急便,南関東,北関東,150,3850
B急便,南関東,北関東,200,4490
B急便,南関東,北関東,300,5770
B急便,南関東,北関東,500,8020
B急便,南関東,北関東,1000,12830
B急便,南関東,北関東,1500,16840
B急便,南関東,北関東,2000,20050
B急便,南関東,南関東,30,1300
B急便,南関東,南関東,50,1690
B急便,南関東,南関東,100,2470
B急便,南関東,南関東,150,3120
B急便,南関東,南関東,200,3640
B急便,南関東,南関東,300,4680
B急便,南関東,南関東,500,6500
B急便,南関東,南関東,1000,10400
B急便,南関東,南関東,1500,13650
B急便,南関東,南関東,2000,16250
B急便,南関東,中部,30,1910
B急便,南関東,中部,50,2480
B急便,南関東,中部,100,3630
B急便,南関東,中部,150,4580
B急便,南関東,中部,200,5340
B急便,南関東,中部,300,6870
B急便,南関東,中部,500,9540
B急便,南関東,中部,1000,15260
B急便,南関東,中部,1500,20030
B急便,南関東,中部,2000,23850
B急便,南関東,関西,30,2670
B急便,南関東,関西,50,3470
B急便,南関東,関西,100,5070
B急便,南関東,関西,150,6400
B急便,南関東,関西,200,7470
B急便,南関東,関西,300,9600
B急便,南関東,関西,500,13340
B急便,南関東,関西,1000,21340
B急便,南関東,関西,1500,28010
B急便,南関東,関西,2000,33350
B急便,南関東,中四国,30,3430
B急便,南関東,中四国,50,4460
B急便,南関東,中四国,100,6510
B急便,南関東,中四国,150,8230
B急便,南関東,中四国,200,9600
B急便,南関東,中四国,300,12340
B急便,南関東,中四国,500,17140
B急便,南関東,中四国,1000,27420
B急便,南関東,中四国,1500,35990
B急便,南関東,中四国,2000,42850
B急便,南関東,九州,30,4190
B急便,南関東,九州,50,5440
B急便,南関東,九州,100,7960
B急便,南関東,九州,150,10050
B急便,南関東,九州,200,11730
B急便,南関東,九州,300,15080
B急便,南関東,九州,500,20940
B急便,南関東,九州,1000,33500
B急便,南関東,九州,1500,43970
B急便,南関東,九州,2000,52350
B急便,中部,北海道,30,3580
B急便,中部,北海道,50,4650
B急便,中部,北海道,100,6800
B急便,中部,北海道,150,8590
B急便,中部,北海道,200,10020
B急便,中部,北海道,300,12890
B急便,中部,北海道,500,17900
B急便,中部,北海道,1000,28640
B急便,中部,北海道,1500,37590
B急便,中部,北海道,2000,44750
B急便,中部,東北,30,2820
B急便,中部,東北,50,3670
B急便,中部,東北,100,5360
B急便,中部,東北,150,6770
B急便,中部,東北,200,7900
B急便,中部,東北,300,10150
B急便,中部,東北,500,14100
B急便,中部,東北,1000,22560
B急便,中部,東北,1500,29610
B急便,中部,東北,2000,35250
B急便,中部,北関東,30,2210
B急便,中部,北関東,50,2880
B急便,中部,北関東,100,4200
B急便,中部,北関東,150,5310
